,time,memory,game,algorithm
0,0.0,0.05859375,Tents,DFS
1,0.0,0.0,Tents,DFS
2,0.0,0.0,Tents,DFS
3,0.0,0.0,Tents,DFS
4,0.0,0.05078125,Tents,DFS
5,0.0,0.0,Tents,DFS
6,0.0,0.0,Tents,DFS
7,0.015625,0.0,Tents,DFS
8,0.0,0.00390625,Tents,DFS
9,0.015625,0.0234375,Tents,DFS
10,0.21875,0.0703125,Tents,DFS
11,0.140625,0.0,Tents,DFS
12,0.015625,0.00390625,Tents,DFS
13,0.046875,0.015625,Tents,DFS
14,0.328125,0.00390625,Tents,DFS
15,0.0,0.01953125,Tents,A_star
16,0.015625,0.0,Tents,A_star
17,0.0,0.0,Tents,A_star
18,0.0,0.0,Tents,A_star
19,0.015625,0.0,Tents,A_star
20,0.0,0.0078125,Tents,A_star
21,0.03125,0.00390625,Tents,A_star
22,0.0625,0.0,Tents,A_star
23,0.03125,0.0,Tents,A_star
24,0.15625,0.0078125,Tents,A_star
25,0.203125,0.01953125,Tents,A_star
26,3.28125,0.015625,Tents,A_star
27,0.28125,0.0,Tents,A_star
28,1.8125,0.0078125,Tents,A_star
29,12.25,0.015625,Tents,A_star
